Currency,Date,Buy Rate,Sell Rate,,,
CAD,2023-08-25,232.2182,244.02,,,
CAD,2023-08-24,233.3295,245.4517,,,
CAD,2023-08-23,233.0711,245.1978,,,
CAD,2023-08-22,232.6228,244.8206,,,
CAD,2023-08-21,232.8384,244.4709,,,
CAD,2023-08-18,232.8153,244.6814,,244.6800333,245.0999
CAD,2023-08-17,230.8282,243.35,,,
CAD,2023-08-16,231.2956,244.0014,,,
CAD,2023-08-15,232.3936,245.0999,,,
CAD,2023-08-14,231.6659,244.4224,,,
CAD,2023-08-11,232.0616,244.714,,,
CAD,2023-08-10,232.2698,244.9357,,,
CAD,2023-08-09,232.7953,245.4771,,,
CAD,2023-08-08,234.0938,247.0233,,,
CAD,2023-08-07,233.6733,247.2576,,,
CAD,2023-08-04,233.2402,245.7738,,,
CAD,2023-08-03,228.2951,242.666,,,
CAD,2023-08-02,231.2043,243.9066,,,
CAD,2023-07-31,242.1985,254.5921,,,
CAD,2023-07-28,242.5945,255.0237,,,
CAD,2023-07-27,243.5558,256.1415,,,
CAD,2023-07-26,244.0134,256.9546,,,
CAD,2023-07-25,243.8877,256.9964,,,
CAD,2023-07-24,241.5438,254.9013,,,
CAD,2023-07-21,240.8627,253.8338,,,
CAD,2023-07-20,239.6736,252.7552,,,
CAD,2023-07-19,238.0296,251.0639,,,
CAD,2023-07-18,237.2266,250.4554,,248.46515,249.0062
CAD,2023-07-17,235.2149,249.0062,,,
CAD,2023-07-14,235.4611,249.3472,,,
CAD,2023-07-13,232.2035,246.001,,,
CAD,2023-07-12,230.5402,244.3487,,,
CAD,2023-07-11,228.1712,242.0538,,,
CAD,2023-07-10,226.7411,240.8398,,,
CAD,2023-07-07,224.6953,238.6669,,,
CAD,2023-07-06,224.2462,238.5989,,,
CAD,2023-07-05,224.4721,238.6223,,,
CAD,2023-07-04,225.1058,239.1003,,,
CAD,2023-06-28,226.7158,240.6992,,,
CAD,2023-06-27,227.9607,242.2978,,,
CAD,2023-06-26,226.0924,240.6133,,,
CAD,2023-06-23,225.2845,240.1874,,,
CAD,2023-06-22,225.5659,240.3656,,,
CAD,2023-06-21,224.4728,239.4298,,,
CAD,2023-06-20,223.6305,239.2467,,,
CAD,2023-06-19,223.5057,239.6504,,,
CAD,2023-06-16,226.5847,242.9873,,234.16708,247.9512
CAD,2023-06-15,231.7384,247.9512,,,
CAD,2023-06-14,226.1081,240.8569,,,
CAD,2023-06-13,219.5659,232.7223,,,
CAD,2023-06-12,215.8652,228.4957,,,
CAD,2023-06-09,213.9921,226.5899,,,
CAD,2023-06-08,212.3635,225.1073,,,
CAD,2023-06-07,211.1248,223.96,,,
CAD,2023-06-06,210.5036,223.238,,,
CAD,2023-06-05,210.9767,223.7226,,,
CAD,2023-06-02,212.1123,224.7592,,,
CAD,2023-06-01,208.0752,220.461,,,
CAD,2023-05-31,209.519,222.11,,,
CAD,2023-05-30,212.1253,224.672,,,
CAD,2023-05-29,211.7345,224.0857,,,
CAD,2023-05-26,215.2968,227.5493,,,
CAD,2023-05-25,217.2198,229.8467,,,
CAD,2023-05-24,219.0638,231.7831,,,
CAD,2023-05-23,220.078,232.8001,,,
CAD,2023-05-22,220.6324,233.6454,,,
CAD,2023-05-19,221.5359,234.1148,,,
CAD,2023-05-18,220.7742,233.4973,,235.7147476,237.6026
CAD,2023-05-17,222.8134,235.9722,,,
CAD,2023-05-16,224.8775,238.0278,,,
CAD,2023-05-15,224.3066,237.6026,,,
CAD,2023-05-12,225.7587,238.9586,,,
CAD,2023-05-11,229.0627,242.6101,,,
CAD,2023-05-10,230.6986,244.3303,,,
CAD,2023-05-09,231.2177,244.7721,,,
CAD,2023-05-08,231.7183,245.5667,,,
CAD,2023-05-04,228.2102,241.8947,,,
CAD,2023-05-03,228.2992,242.1919,,,
CAD,2023-05-02,230.0864,243.9783,,,
CAD,2023-04-28,228.9285,243.0159,,,
CAD,2023-04-27,228.5988,242.4155,,,
CAD,2023-04-26,228.5258,242.5671,,,
CAD,2023-04-25,229.8846,244.0158,,,
CAD,2023-04-24,229.7818,243.9095,,,
CAD,2023-04-21,230.7145,244.8944,,,
CAD,2023-04-20,230.7959,245.1273,,244.9814313,246.3148
CAD,2023-04-19,231.8535,246.315,,,
CAD,2023-04-18,231.9922,246.4468,,,
CAD,2023-04-17,232.0353,246.3148,,,
CAD,2023-04-12,230.1588,244.5532,,,
CAD,2023-04-11,229.4354,244.1291,,,
CAD,2023-04-10,229.3607,244.18,,,
CAD,2023-04-06,231.0514,245.8843,,,
CAD,2023-04-04,232.0214,247.2668,,,
CAD,2023-04-03,233.1072,248.6674,,,
CAD,2023-03-31,233.9087,249.619,,,
CAD,2023-03-30,232.729,247.9306,,,
CAD,2023-03-29,231.464,246.9276,,,
CAD,2023-03-28,230.1699,245.3117,,,
CAD,2023-03-27,227.31,243.0439,,,
CAD,2023-03-24,227.9453,243.349,,,
CAD,2023-03-23,226.3141,241.2163,,,
CAD,2023-03-22,226.7754,242.3322,,,
CAD,2023-03-21,230.5485,246.6492,,,
CAD,2023-03-20,240.7687,256.8179,,,
CAD,2023-03-17,240.8306,257.5201,,248.7572773,253.4066
CAD,2023-03-16,238.1476,253.4921,,,
CAD,2023-03-15,238.0277,253.4066,,,
CAD,2023-03-14,232.3895,246.8819,,,
CAD,2023-03-13,225.6097,240.8773,,,
CAD,2023-03-10,223.1377,239.596,,,
CAD,2023-03-09,222.414,238.2828,,,
CAD,2023-03-08,226.69,242.246,,,
CAD,2023-03-07,233.3566,248.458,,,
CAD,2023-03-03,243.9961,257.4864,,,
CAD,2023-03-02,250.1132,263.3926,,,
CAD,2023-03-01,255.928,267.8229,,,
CAD,2023-02-28,261.3531,272.3942,,,
CAD,2023-02-27,261.5121,272.427,,,
CAD,2023-02-24,263.1971,274.3978,,,
CAD,2023-02-23,263.6714,274.499,,,
CAD,2023-02-22,263.5676,274.1668,,,
CAD,2023-02-21,265.0243,276.0835,,,
CAD,2023-02-20,264.691,276.0546,,,
CAD,2023-02-17,264.9327,276.1567,,,
CAD,2023-02-16,266.9713,278.3351,,277.03157,278.7871
CAD,2023-02-15,267.3776,278.7871,,,
CAD,2023-02-14,267.6682,279.1462,,,
CAD,2023-02-13,267.3645,278.6017,,,
CAD,2023-02-10,265.2891,276.7013,,,
CAD,2023-02-09,265.9494,277.1471,,,
CAD,2023-02-08,266.982,278.1912,,,
CAD,2023-02-07,266.3644,277.8741,,,
CAD,2023-02-06,266.7532,278.0359,,,
CAD,2023-02-03,268.2671,279.6503,,,
CAD,2023-02-02,278.5264,281.1444,,,
CAD,2023-02-01,268.932,280.8374,,,
CAD,2023-01-31,267.3106,279.1485,,,
CAD,2023-01-30,269.2001,280.6925,,,
CAD,2023-01-27,268.294,280.4407,,,
CAD,2023-01-26,267.2798,279.1039,,,
CAD,2023-01-25,268.143,280.0176,,,
CAD,2023-01-24,268.1113,279.9783,,,
CAD,2023-01-23,267.8805,279.7282,,,
CAD,2023-01-20,266.2873,278.0593,,,
CAD,2023-01-19,265.2845,277.0376,,,
CAD,2023-01-18,267.4692,279.3096,,278.6139,279.0349
CAD,2023-01-17,267.2125,279.0349,,,
CAD,2023-01-13,267.6647,279.5157,,,
CAD,2023-01-12,266.8972,278.7041,,,
CAD,2023-01-11,266.7477,278.5956,,,
CAD,2023-01-10,267.539,279.5508,,,
CAD,2023-01-09,267.3058,279.2162,,,
CAD,2023-01-05,265.3113,277.2416,,,
CAD,2023-01-04,262.817,274.5573,,,
CAD,2023-01-03,263.8638,275.7322,,,
CAD,2023-01-02,264.4437,276.6134,,,
,,,,,,
,,,249.2657632,,,
